DateTime,Month,Site,speed,n
7/23/19,July,butler,0.262,1
7/23/19,July,butler,0.129,2
7/23/19,July,butler,0.1805,6
7/23/19,July,butler,0.110625,8
7/23/19,July,butler,0.2295,10
7/23/19,July,butler,0.179166667,12
7/23/19,July,butler,0.10775,12
7/23/19,July,butler,0.092545455,11
7/23/19,July,butler,0.127,8
7/23/19,July,butler,0.2515,6
7/23/19,July,butler,0.33,4
7/23/19,July,butler,0.278666667,3
7/23/19,July,butler,0.629,2
7/23/19,July,butler,0.3225,2
7/23/19,July,butler,0.2018,5
7/24/19,July,butler,0.159625,8
7/24/19,July,butler,0.083888889,9
7/24/19,July,butler,0.106636364,11
7/24/19,July,butler,0.099454545,11
7/24/19,July,butler,0.119444444,9
7/24/19,July,butler,0.232285714,7
7/24/19,July,butler,0.138166667,6
7/24/19,July,butler,0.21625,4
7/24/19,July,butler,0.2445,2
7/24/19,July,butler,0.368,1
7/24/19,July,butler,0.18,4
7/24/19,July,butler,0.197333333,6
7/24/19,July,butler,0.113888889,9
7/24/19,July,butler,0.131636364,11
7/24/19,July,butler,0.135615385,13
7/24/19,July,butler,0.113076923,13
7/24/19,July,butler,0.091333333,12
7/24/19,July,butler,0.134777778,9
7/24/19,July,butler,0.243,7
7/24/19,July,butler,0.1918,5
7/24/19,July,butler,0.13825,4
7/24/19,July,butler,0.08975,4
7/24/19,July,butler,0.1448,5
7/25/19,July,butler,0.142857143,7
7/25/19,July,butler,0.090555556,9
7/25/19,July,butler,0.073090909,11
7/25/19,July,butler,0.084692308,13
7/25/19,July,butler,0.081692308,13
7/25/19,July,butler,0.073,12
7/25/19,July,butler,0.097222222,9
7/25/19,July,butler,0.264,7
7/25/19,July,butler,0.201,5
7/25/19,July,butler,0.283,4
7/25/19,July,butler,0.137333333,3
7/25/19,July,butler,0.08375,4
7/25/19,July,butler,0.226166667,6
7/25/19,July,butler,0.177444444,9
7/25/19,July,butler,0.095833333,12
7/25/19,July,butler,0.075571429,14
7/25/19,July,butler,0.086571429,14
7/25/19,July,butler,0.117857143,14
7/25/19,July,butler,0.1075,12
7/25/19,July,butler,0.1085,10
7/25/19,July,butler,0.167,8
7/25/19,July,butler,0.177857143,7
7/25/19,July,butler,0.171166667,6
7/25/19,July,butler,0.084666667,6
7/26/19,July,butler,0.149714286,7
7/26/19,July,butler,0.130111111,9
7/26/19,July,butler,0.075727273,11
7/26/19,July,butler,0.085153846,13
7/26/19,July,butler,0.09,14
7/26/19,July,butler,0.0895,14
7/26/19,July,butler,0.078416667,12
7/26/19,July,butler,0.1179,10
7/26/19,July,butler,0.1735,8
7/26/19,July,butler,0.276333333,6
7/26/19,July,butler,0.2426,5
7/26/19,July,butler,0.1655,4
