meter,post,treatment,reef,spat.source,home.away,position,date.checked,month.checked,number.shells,color,status,size,diff,notes
13,3,cage,butler,pellicer,away,1,8/17/19,initial,1,blue,1,12,0,
13,3,cage,butler,pellicer,away,1,8/17/19,initial,1,purple,1,7,0,
13,3,cage,butler,pellicer,away,1,8/17/19,initial,1,red,1,6,0,
17,9,cage,pellicer,pellicer,home,1,8/17/19,initial,1,blue,1,16,0,
17,9,cage,pellicer,pellicer,home,1,8/17/19,initial,1,purple,1,11,0,
17,9,cage,pellicer,pellicer,home,1,8/17/19,initial,1,red,1,10,0,
6,11,control,pellicer,pellicer,home,1,8/17/19,initial,2,blue,1,10,0,
6,11,control,pellicer,pellicer,home,1,8/17/19,initial,2,purple,1,11,0,
6,11,control,pellicer,pellicer,home,1,8/17/19,initial,2,red,1,10,0,
6,14,cage,butler,pellicer,away,1,8/17/19,initial,3,blue,1,7,0,
6,14,cage,butler,pellicer,away,1,8/17/19,initial,3,purple,1,16,0,
6,14,cage,butler,pellicer,away,1,8/17/19,initial,3,red,1,9,0,
4,15,control,butler,pellicer,away,1,8/17/19,initial,3,blue,1,14,0,
4,15,control,butler,pellicer,away,1,8/17/19,initial,3,purple,1,14,0,
4,15,control,butler,pellicer,away,1,8/17/19,initial,3,red,1,6,0,
15,17,control,pellicer,pellicer,home,1,8/17/19,initial,1,blue,1,17,0,
15,17,control,pellicer,pellicer,home,1,8/17/19,initial,1,purple,1,13,0,
15,17,control,pellicer,pellicer,home,1,8/17/19,initial,1,red,1,7,0,
8,19,control,pellicer,pellicer,home,1,8/17/19,initial,2,blue,1,13,0,
8,19,control,pellicer,pellicer,home,1,8/17/19,initial,2,purple,1,6,0,
8,19,control,pellicer,pellicer,home,1,8/17/19,initial,2,red,1,13,0,
12,28,cage,pellicer,pellicer,home,1,8/17/19,initial,3,blue,1,10,0,
12,28,cage,pellicer,pellicer,home,1,8/17/19,initial,3,purple,1,14,0,
12,28,cage,pellicer,pellicer,home,1,8/17/19,initial,3,red,1,11,0,
1,30,control,butler,pellicer,away,1,8/17/19,initial,1,blue,1,11,0,
1,30,control,butler,pellicer,away,1,8/17/19,initial,1,purple,1,11,0,
1,30,control,butler,pellicer,away,1,8/17/19,initial,1,red,1,11,0,
20,33,control,butler,pellicer,away,1,8/17/19,initial,1,blue,1,16,0,
20,33,control,butler,pellicer,away,1,8/17/19,initial,1,purple,1,16,0,
20,33,control,butler,pellicer,away,1,8/17/19,initial,1,red,1,14,0,
9,35,cage,butler,pellicer,away,1,8/17/19,initial,3,blue,1,11,0,
9,35,cage,butler,pellicer,away,1,8/17/19,initial,3,purple,1,8,0,
9,35,cage,butler,pellicer,away,1,8/17/19,initial,3,red,1,6,0,
18,45,control,pellicer,pellicer,home,1,8/17/19,initial,2,blue,1,5,0,
18,45,control,pellicer,pellicer,home,1,8/17/19,initial,2,purple,1,12,0,
18,45,control,pellicer,pellicer,home,1,8/17/19,initial,2,red,1,7,0,
3,49,cage,pellicer,pellicer,home,1,8/17/19,initial,3,blue,1,9,0,
