meter,post,treatment,reef,spat.source,home.away,position,date.checked,month.checked,number.shells,color,status,size,missing.cage,notes
13,3,cage,butler,pellicer,away,1,8/17/19,initial,1,blue,1,12,,
13,3,cage,butler,pellicer,away,1,8/17/19,initial,1,purple,1,7,,
13,3,cage,butler,pellicer,away,1,8/17/19,initial,1,red,1,6,,
17,9,cage,pellicer,pellicer,home,1,8/17/19,initial,1,blue,1,16,,
17,9,cage,pellicer,pellicer,home,1,8/17/19,initial,1,purple,1,11,,
17,9,cage,pellicer,pellicer,home,1,8/17/19,initial,1,red,1,10,,
6,11,control,pellicer,pellicer,home,1,8/17/19,initial,2,blue,1,10,,
6,11,control,pellicer,pellicer,home,1,8/17/19,initial,2,purple,1,11,,
6,11,control,pellicer,pellicer,home,1,8/17/19,initial,2,red,1,10,,
6,14,cage,butler,pellicer,away,1,8/17/19,initial,3,blue,1,7,,
6,14,cage,butler,pellicer,away,1,8/17/19,initial,3,purple,1,16,,
6,14,cage,butler,pellicer,away,1,8/17/19,initial,3,red,1,9,,
4,15,control,butler,pellicer,away,1,8/17/19,initial,3,blue,1,14,,
4,15,control,butler,pellicer,away,1,8/17/19,initial,3,purple,1,14,,
4,15,control,butler,pellicer,away,1,8/17/19,initial,3,red,1,6,,
15,17,control,pellicer,pellicer,home,1,8/17/19,initial,1,blue,1,17,,
15,17,control,pellicer,pellicer,home,1,8/17/19,initial,1,purple,1,13,,
15,17,control,pellicer,pellicer,home,1,8/17/19,initial,1,red,1,7,,
8,19,control,pellicer,pellicer,home,1,8/17/19,initial,2,blue,1,13,,
8,19,control,pellicer,pellicer,home,1,8/17/19,initial,2,purple,1,6,,
8,19,control,pellicer,pellicer,home,1,8/17/19,initial,2,red,1,13,,
12,28,cage,pellicer,pellicer,home,1,8/17/19,initial,3,blue,1,10,,
12,28,cage,pellicer,pellicer,home,1,8/17/19,initial,3,purple,1,14,,
12,28,cage,pellicer,pellicer,home,1,8/17/19,initial,3,red,1,11,,
1,30,control,butler,pellicer,away,1,8/17/19,initial,1,blue,1,11,,
1,30,control,butler,pellicer,away,1,8/17/19,initial,1,purple,1,11,,
1,30,control,butler,pellicer,away,1,8/17/19,initial,1,red,1,11,,
20,33,control,butler,pellicer,away,1,8/17/19,initial,1,blue,1,16,,
20,33,control,butler,pellicer,away,1,8/17/19,initial,1,purple,1,16,,
20,33,control,butler,pellicer,away,1,8/17/19,initial,1,red,1,14,,
9,35,cage,butler,pellicer,away,1,8/17/19,initial,3,blue,1,11,,
9,35,cage,butler,pellicer,away,1,8/17/19,initial,3,purple,1,8,,
9,35,cage,butler,pellicer,away,1,8/17/19,initial,3,red,1,6,,
18,45,control,pellicer,pellicer,home,1,8/17/19,initial,2,blue,1,5,,
18,45,control,pellicer,pellicer,home,1,8/17/19,initial,2,purple,1,12,,
18,45,control,pellicer,pellicer,home,1,8/17/19,initial,2,red,1,7,,
3,49,cage,pellicer,pellicer,home,1,8/17/19,initial,3,blue,1,9,,
3,49,cage,pellicer,pellicer,home,1,8/17/19,initial,3,purple,1,14,,
3,49,cage,pellicer,pellicer,home,1,8/17/19,initial,3,red,1,8,,
10,50,control,pellicer,pellicer,home,1,8/17/19,initial,2,blue,1,14,,
10,50,control,pellicer,pellicer,home,1,8/17/19,initial,2,purple,1,12,,
10,50,control,pellicer,pellicer,home,1,8/17/19,initial,2,red,1,13,,
5,53,cage,butler,pellicer,away,1,8/17/19,initial,3,blue,1,8,,
5,53,cage,butler,pellicer,away,1,8/17/19,initial,3,purple,1,11,,
5,53,cage,butler,pellicer,away,1,8/17/19,initial,3,red,1,7,,
7,54,cage,pellicer,pellicer,home,1,8/17/19,initial,2,blue,1,11,,
7,54,cage,pellicer,pellicer,home,1,8/17/19,initial,2,purple,1,15,,
7,54,cage,pellicer,pellicer,home,1,8/17/19,initial,2,red,1,9,,
19,55,cage,butler,pellicer,away,1,8/17/19,initial,1,blue,1,13,,
19,55,cage,butler,pellicer,away,1,8/17/19,initial,1,purple,1,14,,
19,55,cage,butler,pellicer,away,1,8/17/19,initial,1,red,1,12,,
5,56,cage,pellicer,pellicer,home,1,8/17/19,initial,2,blue,1,10,,
5,56,cage,pellicer,pellicer,home,1,8/17/19,initial,2,purple,1,9,,
5,56,cage,pellicer,pellicer,home,1,8/17/19,initial,2,red,1,15,,
11,57,control,butler,pellicer,away,1,8/17/19,initial,3,blue,1,11,,
11,57,control,butler,pellicer,away,1,8/17/19,initial,3,purple,1,10,,
11,57,control,butler,pellicer,away,1,8/17/19,initial,3,red,1,11,,
2,60,control,butler,pellicer,away,1,8/17/19,initial,3,blue,1,13,,
2,60,control,butler,pellicer,away,1,8/17/19,initial,3,purple,1,13,,
2,60,control,butler,pellicer,away,1,8/17/19,initial,3,red,1,13,,
9,61,cage,pellicer,butler,away,1,8/17/19,initial,2,blue,1,12,,
9,61,cage,pellicer,butler,away,1,8/17/19,initial,2,purple,1,10,,
9,61,cage,pellicer,butler,away,1,8/17/19,initial,2,red,1,15,,
19,65,control,pellicer,butler,away,1,8/17/19,initial,3,blue,1,9,,
19,65,control,pellicer,butler,away,1,8/17/19,initial,3,purple,1,12,,
19,65,control,pellicer,butler,away,1,8/17/19,initial,3,red,1,17,,
7,74,control,butler,butler,home,1,8/17/19,initial,2,blue,1,12,,
7,74,control,butler,butler,home,1,8/17/19,initial,2,purple,1,13,,
7,74,control,butler,butler,home,1,8/17/19,initial,2,red,1,6,,
11,75,control,pellicer,butler,away,1,8/17/19,initial,2,blue,1,16,,
11,75,control,pellicer,butler,away,1,8/17/19,initial,2,purple,1,19,,
11,75,control,pellicer,butler,away,1,8/17/19,initial,2,red,1,17,,
3,77,cage,butler,butler,home,1,8/17/19,initial,2,blue,1,17,,
3,77,cage,butler,butler,home,1,8/17/19,initial,2,purple,1,11,,
3,77,cage,butler,butler,home,1,8/17/19,initial,2,red,1,5,,
16,78,cage,pellicer,butler,away,1,8/17/19,initial,1,blue,1,21,,
16,78,cage,pellicer,butler,away,1,8/17/19,initial,1,purple,1,12,,
16,78,cage,pellicer,butler,away,1,8/17/19,initial,1,red,1,11,,
2,79,control,pellicer,butler,away,1,8/17/19,initial,1,blue,1,9,,
2,79,control,pellicer,butler,away,1,8/17/19,initial,1,purple,1,8,,
2,79,control,pellicer,butler,away,1,8/17/19,initial,1,red,1,10,,
12,86,cage,butler,butler,home,1,8/17/19,initial,2,blue,1,7,,
12,86,cage,butler,butler,home,1,8/17/19,initial,2,purple,1,8,,
12,86,cage,butler,butler,home,1,8/17/19,initial,2,red,1,12,,
8,88,control,butler,butler,home,1,8/17/19,initial,3,blue,1,9,,
8,88,control,butler,butler,home,1,8/17/19,initial,3,purple,1,7,,
8,88,control,butler,butler,home,1,8/17/19,initial,3,red,1,15,,paint on shell
14,91,cage,pellicer,butler,away,1,8/17/19,initial,2,blue,1,15,,
14,91,cage,pellicer,butler,away,1,8/17/19,initial,2,purple,1,8,,
14,91,cage,pellicer,butler,away,1,8/17/19,initial,2,red,1,16,,
13,93,cage,pellicer,butler,away,1,8/17/19,initial,1,blue,1,11,,
13,93,cage,pellicer,butler,away,1,8/17/19,initial,1,purple,1,9,,
13,93,cage,pellicer,butler,away,1,8/17/19,initial,1,red,1,8,,
20,95,cage,pellicer,butler,away,1,8/17/19,initial,3,blue,1,6,,
20,95,cage,pellicer,butler,away,1,8/17/19,initial,3,purple,1,15,,
20,95,cage,pellicer,butler,away,1,8/17/19,initial,3,red,1,10,,
18,101,cage,butler,butler,home,1,8/17/19,initial,2,blue,1,14,,
18,101,cage,butler,butler,home,1,8/17/19,initial,2,purple,1,8,,
