process.date,expt,sample.date,site,meter,treatment,reef,spat.source,month.checked,oyster.ID,oyster.length,oyster.width,tissue.tin.no,tissue.tin.wt,tissue.pre.wet,tissue.wet.wt,tissue.pre.dry,tissue.dry.wt,shell.tin.no,shell.tin.wt,shell.pre.wet,shell.wet.wt,shell.pre.dry,shell.dry.wt,shell.length,shell.width,shell.thickness,std.thick,std.wt,std.tissue
7-Jun-21,RT,20-May,Butler,1,control,butler,pellicer,nine,12p,64.65,24.96,145,1.053,4.728,3.675,1.412,0.359,132,1.075,6.086,5.011,5.833,4.758,59.01,24.3,2.994,0.050737163,0.080630402,0.006083715
7-Jun-21,RT,20-May,Butler,3,cage,butler,butler,nine,,,,,,,,,,,,,,,,,,,,,
7-Jun-21,RT,20-May,Butler,4,control,butler,pellicer,nine,41b,45.14,24.01,60,1.317,2.687,1.37,1.505,0.188,176,1.31,3.602,2.292,3.495,2.185,42.01,22.62,2.772,0.065984289,0.052011426,0.004475125
7-Jun-21,RT,20-May,Butler,5,cage,butler,pellicer,nine,,,,,,,,,,,,,,,,,,,,,
7-Jun-21,RT,20-May,Butler,6,cage,butler,pellicer,nine,36b,53.22,37.88,58,1.318,3.186,1.868,1.586,0.268,323,1.32,5.556,4.236,5.369,4.049,49.78,32.82,2.345,0.047107272,0.081337887,0.005383688
7-Jun-21,RT,20-May,Butler,7,control,butler,butler,nine,84b,32.6,18.01,82,1.063,1.623,0.56,1.129,0.066,47,1.075,2.21,1.135,2.132,1.057,31.55,15,2.086,0.066117274,0.033502377,0.002091918
7-Jun-21,RT,20-May,Butler,9,cage,butler,pellicer,nine,47p,40.8,22.61,36,0.992,1.736,0.744,1.084,0.092,291,0.953,2.549,1.596,2.496,1.543,38.63,21.24,2.078,0.053792389,0.039943049,0.002381569
7-Jun-21,RT,20-May,Butler,10,control,butler,butler,nine,89b,34.5,30.53,218,0.995,2.086,1.091,1.123,0.128,99,1.32,3.255,1.935,3.186,1.866,31.93,23.72,2.179,0.068243032,0.058440338,0.004008769
7-Jun-21,RT,20-May,Butler,11,control,butler,pellicer,nine,13b,30.47,23,160,1.308,1.88,0.572,1.378,0.07,211,1.002,2.321,1.319,2.25,1.248,27.94,19.69,2.531,0.090586972,0.044667144,0.002505369
7-Jun-21,RT,20-May,Butler,13,cage,butler,pellicer,nine,,,,,,,,,,,,,,,,,,,,,
7-Jun-21,RT,20-May,Butler,14,cage,butler,butler,nine,105b,48.98,25.32,11,1.307,2.63,1.323,1.496,0.189,116,1.066,4.256,3.19,4.183,3.117,44.9,23.76,2.098,0.046726058,0.069420935,0.004209354
